event,t,dir,months,n_post,M_minus,M_plus,M_plus_lo,M_plus_hi,M_minus_lo,M_minus_hi,dMZ,dEZ,dEZ_lo,dEZ_hi,descriptive_only
B,11,636_trim_ene_feb_mar19,"['2019-01', '2019-02', '2019-03']",3,7.866999194113632,5.559923810619388,4.9114492090995885,6.843375503889847,7.19025512265482,8.728974882142182,-7.866482749225434,4.172631275601637,2.896590412455462,5.402621568220975,False
B,12,637_trim_feb_mar_abr19,"['2019-02', '2019-03', '2019-04']",3,8.177012166157123,6.500454904577533,5.782945965005087,7.761354411266453,7.461329437897322,9.011021186005948,-8.048887577886806,4.736154711005592,3.459626391014052,5.995931687905993,False
C,-12,741_trim_mar_abr_may21,"['2021-03', '2021-04', '2021-05']",0,0.19338050377989574,0.33495623098522903,0.11953034110095112,1.2734299067592199,0.09925257743281335,0.883416197629929,2.6221460689684335,-1.6433943534382311,-2.7237283283248575,-0.5981491425336171,True
C,-11,742_trim_abr_may_jun21,"['2021-04', '2021-05', '2021-06']",0,0.4270171557981761,0.8762556104787942,0.5674694338903751,1.7711217463037439,0.1862764583640144,1.0720791745405671,2.0375907627759093,-0.5697509945829035,-1.5298328733060529,0.4407106580703672,True
C,-10,744_trim_may_jun_jul21,"['2021-05', '2021-06', '2021-07']",0,0.4322298844102082,0.8429416680869738,0.36408600505856414,1.7993704521950828,0.23925803841784798,1.1901634033905486,0.8459046632097795,-0.27971690397737786,-1.2655839313937811,0.7173077259721831,True
C,-9,746_trim_jun_jul_ago21,"['2021-06', '2021-07', '2021-08']",0,0.7429592540426638,0.6209831291541943,0.27052953762750515,1.6389110704763963,0.40967792934173436,1.7016730777784101,-0.04391939152514927,-0.4272798447067291,-1.400208648427448,0.5273740014381817,True
C,-8,747_trim_jul_ago_set21,"['2021-07', '2021-08', '2021-09']",0,0.4230659904119251,0.24447072784828894,0.07809253461125844,1.1404719034263655,0.26278188570880884,1.103248884716652,0.7724731556184694,-1.1780288615059056,-2.1079512840246344,-0.2963552320245705,True
C,-7,748_trim_ago_set_oct21,"['2021-08', '2021-09', '2021-10']",0,0.45365613298304525,0.6835440144401765,0.28641465556136037,1.347176434335678,0.17237909767078763,1.3608778703628843,0.5610480862675689,-1.7045514333548943,-2.5666374591555514,-0.8387471517419253,True
C,-6,750_trim_set_oct_nov21,"['2021-09', '2021-10', '2021-11']",0,1.7804142737893411,3.2520311674438576,2.6455606020397147,4.234521050562418,1.1318141902842207,2.8210252408456142,-0.9573166335264603,1.7446711340609071,0.707494548952809,2.689672973743133,True
C,-5,751_trim_oct_nov_dic21,"['2021-10', '2021-11', '2021-12']",0,3.270605513925807,3.3529673388009593,2.657610588738894,4.369755146260118,2.509582278638044,4.222201461224784,-2.5992314832853918,2.978371631858881,1.9716908384161216,3.9323393212313515,True
C,-4,752_trim_nov_dic_ene22,"['2021-11', '2021-12', '2022-01']",0,2.712931495286947,3.732755246585996,2.9745436207511884,4.849164504751033,2.125435204400766,3.883160631160645,-2.5001613559183706,3.457844225367459,2.4008468413717003,4.519152208969772,True
C,-3,755_trim_dic_ene_feb22,"['2021-12', '2022-01', '2022-02']",0,1.6667052438228511,1.6321711122834197,0.9959720434428339,2.4430935294528586,1.1846006449521653,2.4596471700612126,-0.8847595942792053,0.22222975640614753,-0.7842423779310693,1.2446161060500585,True
C,-2,757_trim_ene_feb_mar22,"['2022-01', '2022-02', '2022-03']",0,0.505450197588472,0.3964589144514372,0.2544283247780715,1.3576663629431138,0.3235100389992188,1.5414545006774314,0.22297002139638764,-1.1161000102649965,-2.0901941815039122,-0.12119138847017047,True
C,-1,762_trim_feb_mar_abr22,"['2022-02', '2022-03', '2022-04']",0,0.639493755483668,0.5811641344565777,0.30194772865043473,1.1651051529404801,0.4354841910994884,1.8041275044227274,-0.07655021307007705,-1.4840786940491224,-2.414265516162458,-0.5217393163795961,True
C,0,764_trim_mar_abr_may22,"['2022-03', '2022-04', '2022-05']",1,1.6712825108829537,0.7693481349282714,0.4490631837176089,1.7955356427170301,1.0101960644909123,2.832313431975832,-1.0482000965616285,-0.8820379756588065,-1.9722613431513942,0.1928208781737,True
C,1,766_trim_abr_may_jun22,"['2022-04', '2022-05', '2022-06']",2,4.3154979223243375,2.505058975154885,1.7291419110802189,3.691789072597397,3.5585354925374353,5.516638119023284,-4.230265288259263,0.8269339241022488,-0.4050927603065935,2.035821969913862,True
C,2,768_trim_may_jun_jul22,"['2022-05', '2022-06', '2022-07']",3,6.90203333366613,4.1665676772293585,3.255181231807853,5.374052058435392,6.041727691179949,8.013998843188112,-6.861055379142107,2.7155275263408303,1.3355529298705844,4.007147892770866,True
