dir,survey,period,file,status,n_vars,concept,candidate_variables
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,geography,dominio
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,month_year,
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,industry,
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,occupation,
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,household_id,vivienda|hogar
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,person_id,codperso
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,panel_rotation,
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,employment_indicator,ocu200
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,age,p208b1|p208b2|p208b3
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,sex,p207a|p207b
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,dependent_worker,
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,self_employment,
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,informality,
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,monthly_earnings,ingtot
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,hours,
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,weight,factor
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,psu,conglome
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,stratum,estrato
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,geography,dominio
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,month_year,
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,industry,
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,occupation,
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,household_id,vivienda|hogar
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,person_id,codperso
142_trim_ene_feb_mar_2006,EPE,2006-01,Trim Ene-Feb-Mar 2006.sav,ok,90,panel_rotation,
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,employment_indicator,ocu200
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,age,p208b1|p208b2|p208b3
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,sex,p207a|p207b
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,dependent_worker,
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,self_employment,
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,informality,
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,monthly_earnings,ingtot
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,hours,
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,weight,
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,psu,conglome
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,stratum,estrato
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,geography,dominio
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,month_year,
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,industry,
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,occupation,
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,household_id,vivienda|hogar
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,person_id,codperso
170_trim_ene_feb_mar07,EPE,2007-01,Trim Ene-Feb-Mar07.sav,ok,92,panel_rotation,
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,employment_indicator,ocu200
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,age,p208b1|p208b2|p208b3
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,sex,p207a|p207b
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,dependent_worker,
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,self_employment,
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,informality,
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,monthly_earnings,ingtot
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,hours,
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,weight,
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,psu,conglome
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,stratum,estrato
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,geography,dominio
